ActorID,Name,Gender,BirthDate,Nationality,"PhotoUrl"
1,蒂姆·罗宾斯,男,1958-10-16,美国,"NULL"
2,摩根·弗里曼,男,1937-06-01,美国,"NULL"
3,张国荣,男,1956-09-12,中国香港,"NULL"
4,张丰毅,男,1956-09-01,中国,"NULL"
5,巩俐,女,1965-12-31,中国,"NULL"
6,柊瑠美,女,1987-08-01,日本,"NULL"
7,入野自由,男,1988-02-19,日本,"NULL"
8,夏木真理,女,1952-08-26,日本,"NULL"
9,莱昂纳多·迪卡普里奥,男,1974-11-11,美国,"NULL"
10,约瑟夫·高登-莱维特,男,1981-02-17,美国,"NULL"
11,马龙·白兰度,男,1924-04-03,美国,"NULL"
12,阿尔·帕西诺,男,1940-04-25,美国,"NULL"
13,汤姆·汉克斯,男,1956-07-09,美国,"NULL"
14,罗宾·怀特,女,1966-04-08,美国,"NULL"
15,理查·基尔,男,1949-08-31,美国,"NULL"
16,莎拉·罗默尔,女,1978-06-04,美国,"NULL"
17,菲利普·努瓦雷,男,1930-04-12,法国,"NULL"
18,萨瓦特利·卡西欧,男,1976-01-20,意大利,"NULL"
19,让·雷诺,男,1948-07-30,法国,"NULL"
20,娜塔莉·波特曼,女,1981-06-09,美国,"NULL"
21,玛德琳·卡罗尔,女,1996-03-16,美国,"NULL"
22,卡兰·麦克奥利菲,男,1995-01-24,澳大利亚,"NULL"
23,凯特·温斯莱特,女,1975-10-05,英国,""
24,马修·麦康纳,男,1969-11-04,美国,""
25,安妮·海瑟薇,女,1982-11-12,美国,""
26,王梓,男,1986-04-13,中国,""
27,陶典,女,1992-10-05,中国,""
28,沈达威,男,1984-08-24,中国,""
29,徐娇,女,1997-08-05,中国,""
