CommentID,UserID,MovieID,Content,"CommentTime"
1,1,1,希望是美好的事物，也许是世上最美好的事物，美好的事物从不消逝。,"2026-08-26 16:17:36"
2,2,1,每次看都有新的感悟，真正的经典永不过时。,"2026-08-26 16:17:36"
3,1,2,不疯魔不成活，张国荣之后再无程蝶衣。,"2026-08-26 16:17:36"
4,2,2,华语电影的巅峰，至今无人超越。,"2026-08-26 16:17:36"
5,1,3,宫崎骏最好的作品，每次重温都会被不同的细节打动。,"2026-08-26 16:17:36"
6,1,4,诺兰把梦境拍成了艺术，层层嵌套的结构令人叹为观止。,"2026-08-26 16:17:36"
7,2,5,我会给他一个无法拒绝的条件。影史最伟大的黑帮电影。,"2026-08-26 16:17:36"
8,1,6,人生就像一盒巧克力，你永远不知道下一颗是什么味道。,"2026-08-26 16:17:36"
9,1,7,狗狗的世界只有你，看完哭得不能自已。,"2026-08-26 16:17:36"
10,2,8,生活和电影不一样，生活难多了。艾佛特的话句句戳心。,"2026-08-26 16:17:36"
11,1,9,里昂和马蒂尔达之间那种超越年龄的感情，纯粹而令人心碎。,"2026-08-26 16:17:36"
12,2,10,斯人若彩虹，遇上方知有。最美好的初恋电影。,"2026-08-26 16:17:36"
16,2,6,就喜欢阿甘的这种精神！！！,"2026-08-27 16:17:09"
17,1,11,生死两茫茫 不思量 自难忘,"2026-08-27 22:48:26"
18,1,13,好科幻,"2026-08-28 11:43:34"
