MovieID,Title,ReleaseYear,Duration,Genre,Language,Country,Synopsis,Rating,PosterUrl,"JumpUrl"
1,肖申克的救赎,1994,142,剧情/犯罪,英语,美国,一场谋杀案使银行家安迪蒙冤入狱，在肖申克监狱中他用智慧和希望完成了自我救赎。,10.0,https://www.themoviedb.org/t/p/w1280/Aqo8yM5S5ZEdlcyeBBxj7s0vkTf.jpg,"https://www.dytiantang.tv/vod/detail/id/45733.html"
2,霸王别姬,1993,171,剧情/爱情/同性,汉语普通话,中国大陆/中国香港,段小楼与程蝶衣是一对打小一起长大的师兄弟，两人一个演生一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》更是誉满京城。,9.5,https://www.themoviedb.org/t/p/w1280/cJNXKybd4l8ILJ7sZTeiLdAIrZd.jpghttps://www.themoviedb.org/t/p/w1280/cJNXKybd4l8ILJ7sZTeiLdAIrZd.jpg,"https://www.dytiantang.tv/vod/detail/id/84216.html"
3,千与千寻,2001,125,剧情/动画/奇幻,日语,日本,千寻和爸爸妈妈一同驱车前往新家，误入了一个神秘的隧道，来到了一个诡异的中世纪小镇。,9.5,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,"https://www.dytiantang.tv/vod/detail/id/17094.html"
4,盗梦空间,2010,148,剧情/科幻/悬疑,英语,美国/英国,道姆·柯布是一位经验老到的窃贼，他能够潜入人们精神最为脆弱的梦境中窃取潜意识中有价值的秘密。,9.0,https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,"https://www.dytiantang.tv/vod/detail/id/81672.html"
5,教父,1972,175,剧情/犯罪,英语,美国,"40年代的美国，""教父""维托·柯里昂是黑手党柯里昂家族的首领，带领家族从事非法勾当的同时也是许多弱小平民的保护神。",9.0,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"NULL"
6,阿甘正传,1994,142,剧情/爱情,英语,美国,阿甘于二战结束后不久出生在美国南方阿拉巴马州一个闭塞的小镇，他先天弱智但妈妈是一个性格坚强的女性。,9.5,https://image.tmdb.org/t/p/w500/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,"https://www.dytiantang.tv/vod/detail/id/43408.html"
7,忠犬八公的故事,2009,93,剧情,英语,美国/英国,大学教授帕克在小镇的火车站拣到一只走失的小狗，冥冥中似乎注定小狗和帕克教授有着某种缘分。,10.0,https://www.themoviedb.org/t/p/w1280/bJY4HwYR7rrWBqY4t1XofjhGnVh.jpg,"https://www.dytiantang.tv/vod/detail/id/116391.html"
8,天堂电影院,1988,155,剧情/爱情,意大利语,意大利/法国,意大利南部小镇，古灵精怪的小男孩多多喜欢看电影，更喜欢看放映师艾佛特放电影。,9.0,https://image.tmdb.org/t/p/w500/gCI2AeMV4IHSewhJkzsur5MEp6R.jpg,"https://www.dytiantang.tv/vod/detail/id/53922.html"
9,这个杀手不太冷,1994,110,剧情/动作/犯罪,英语/法语,法国/美国,里昂是名孤独的职业杀手，受人雇佣。一天邻居家小姑娘马蒂尔达敲开他的房门要求在他那里暂避杀身之祸。,9.5,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2913554676.webp,"https://www.dytiantang.tv/vod/detail/id/40050.html"
10,怦然心动,2010,90,剧情/喜剧/爱情,英语,美国,布莱斯全家搬到小镇，邻家女孩朱丽前来帮忙并对他一见钟情，心愿是获得他的吻。,9.0,https://www.themoviedb.org/t/p/w1280/4Nu5blbEXzNm58UKVVZ9qhe3O3y.jpg,"https://www.dytiantang.tv/vod/detail/id/111490.html"
11,泰坦尼克号,1997,194,剧情 / 爱情 / 灾难,英语,美国,富家少女罗丝与母亲及未婚夫卡尔坐上了头等舱；另一边，放荡不羁的少年画家杰克也在码头的一场赌博中 赢得了下等舱的船票。罗丝厌倦了上流社会虚伪的生活，不愿嫁给卡尔，打算投海自尽，被杰克救起。很快，美丽活泼的罗丝与英俊开朗的杰克相爱，杰克带罗丝参加下等舱的舞会、为她画像，二人的感情逐渐升温。一个风平浪静的夜晚。泰坦尼克号撞上了冰山，“永不沉没的”泰坦尼克号面临沉船的命运，罗丝和杰克刚萌芽的爱情也将经历生死的考验。,9.0,https://www.themoviedb.org/t/p/w1280/lFYUkUPcFXDzZzSfkiCDsvHIJxj.jpg,"https://www.dytiantang.tv/vod/detail/id/89052.html"
13,星际穿越,2014,169,剧情 / 科幻 / 冒险,英语,美国 / 英国 / 加拿大,"近未来的地球黄沙遍野，小麦、秋葵等基础农作物相继因枯萎病灭绝，人类不再像从前那样仰望星空，放纵想象力和灵感的迸发，而是每日在沙尘暴的肆虐下倒数着所剩不多的光景。在家务农的前NASA宇航员库珀接连在女儿墨菲的书房发现奇怪的重力场现象，随即得知在某个未知区域内前NASA成员仍秘密进行一个拯救人类的计划。多年以前土星附近出现神秘虫洞，NASA借机将数名宇航员派遣到遥远的星系寻找适合居住的星球。在布兰德教授的劝说下，库珀忍痛告别了女儿，和其他三名专家教授女儿艾米莉亚·布兰德、罗米利、多伊尔搭乘宇宙飞船前往目前已知的最有希望的三颗星球考察。
　　他们穿越遥远的星系银河，感受了一小时七年光阴的沧海桑田，窥见了未知星球和黑洞的壮伟与神秘。在浩瀚宇宙的绝望而孤独角落，总有一份超越了时空的笃定情怀将他们紧紧相连……",8.0,https://www.themoviedb.org/t/p/w1280/spQm5r317XPNHK1941ChWmqzkZs.jpg,"https://www.dytiantang.tv/vod/detail/id/50226.html"
16,龙之谷：精灵王座,2016,104,动画,汉语普通话,中国大陆,"　　人类少年小鱼受邀前往遥远神秘的精灵王国，参加精灵女王的婚礼。借此机会，他终于可以见到阔别已久的精灵女友莉雅。黑暗精灵携大军突然闯入，胁迫女王交出传说中掌控精灵命脉、拥有至高力量的生命宝玉。在遭到反抗后，黑暗精灵强行劫走了女王。
　　精灵王国陷入惶恐，被卷入纷争的小鱼为保护莉雅，毅然同精灵们一起踏上营救女王的冒险。可他没有想到的是，这次征途不仅充满危险，还将是对他以及他们间爱情的巨大考验。",7.0,https://www.themoviedb.org/t/p/w1280/byaBhHMwt9BzYyb4CdVtSY1swzL.jpg,"https://www.dytiantang.tv/vod/detail/id/27240.html"
17,龙之谷：破晓奇兵,2014,88,动画 / 奇幻 / 冒险,汉语普通话,中国大陆,不务正业的流浪少年兰伯特意外听到了邪恶的大黑龙手下魔族准备攻占阿尔特里亚大陆的情况，为了保护家乡他与魔物周旋被困，却被游侠巴尔纳救下，加入到了游侠杰兰特、阿尔杰塔的队伍中。精灵一族中的法师首领卡拉秋也带着公主内尔文与弓箭手随从莉亚前来邀请人类国王参战，面对魔物的入侵，他们和游侠队伍以及人类骑士贝斯柯德组成了对付大黑龙的联盟。众人历经困难来到了大黑龙的巢穴，兰伯特与莉亚日久生情，但是他们却不知道杰兰特和阿尔杰塔，以及贝斯柯德各自带着不为人知的秘密……,8.0,https://www.themoviedb.org/t/p/w1280/g2w3C3qap1btgCvFOJiYki4aNmy.jpg,"https://www.dytiantang.tv/vod/detail/id/27247.html"
