RatingID,UserID,MovieID,Score,"RatingTime"
1,1,1,10,"2026-08-27 16:00:12"
2,1,2,10,"2026-08-26 16:14:22"
3,1,3,9,"2026-08-26 16:14:22"
4,1,4,9,"2026-08-26 16:14:22"
5,1,6,10,"2026-08-26 16:14:22"
6,1,7,10,"2026-08-26 16:14:22"
7,1,8,9,"2026-08-26 16:14:22"
8,1,9,10,"2026-08-26 16:14:22"
9,2,1,10,"2026-08-26 16:16:05"
10,2,2,9,"2026-08-26 16:16:05"
11,2,3,10,"2026-08-26 16:16:05"
12,2,5,9,"2026-08-26 16:16:05"
14,2,8,9,"2026-08-26 16:16:05"
15,2,9,9,"2026-08-26 16:16:05"
16,2,10,9,"2026-08-26 16:16:05"
22,2,6,9,"2026-08-27 16:17:29"
23,1,11,9,"2026-08-27 22:47:33"
24,1,13,8,"2026-08-28 11:43:25"
25,1,17,8,"2026-08-28 13:58:17"
26,1,16,7,"2026-08-28 13:58:30"
